Company,Job_title,Location,Salary,Links
PT. ALDMIC COOPN DIGITAL,Brand Marketing,Jakarta Barat,"IDR 8,000,000 - IDR 11,200,000",https://www.jobstreet.co.id/id/job/brand-marketing-4517997?jobId=jobstreet-id-job-4517997&sectionRank=1055&token=0~b12aad0d-ce7f-4b2e-925a-fc38787a2ad5&fr=SRP%20Job%20Listing
PT Higienis Indonesia,Green Ambassador - Sustainability Solutions,Jakarta Raya,"IDR 10,000,000 - IDR 20,000,000",https://www.jobstreet.co.id/id/job/green-ambassador-sustainability-solutions-4516717?jobId=jobstreet-id-job-4516717&sectionRank=400&token=0~e7a7d03f-ca41-48a0-8ecc-c39f99367986&fr=SRP%20Job%20Listing
PT Modal Ventura YCAB,RELATIONSHIP OFFICER - GRAMEEN,Jakarta Raya,"IDR 3,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/relationship-officer-grameen-4518136?jobId=jobstreet-id-job-4518136&sectionRank=1568&token=0~00b4b701-5616-4a55-99bb-fcbaf55b100e&fr=SRP%20Job%20Listing
PT Asuransi Allianz Life Indonesia (BancassuranceDivison),Telemarketing WALK-IN INTERVIEW & PENEMPATAN BSD,Tangerang,"IDR 3,000,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/telemarketing-walk-in-interview-penempatan-bsd-4518276?jobId=jobstreet-id-job-4518276&sectionRank=635&token=0~29cd02b4-34e8-4cc4-b20a-a31d03be727e&fr=SRP%20Job%20Listing
UD Tunggal Jaya (Surabaya),Staff Kantor,Surabaya,"IDR 3,000,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/staff-kantor-4514430?jobId=jobstreet-id-job-4514430&sectionRank=1238&token=0~b21ab8e8-4690-41a6-ab61-928f58cdf4d1&fr=SRP%20Job%20Listing
PT. Gama Agro Sejati,LOGISTIC STAFF,Semarang,"IDR 3,000,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/logistic-staff-4517067?jobId=jobstreet-id-job-4517067&sectionRank=366&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
PT Mirah Global Investment,IT Manager,Badung,"IDR 10,000,000 - IDR 14,000,000",https://www.jobstreet.co.id/id/job/it-manager-4515730?jobId=jobstreet-id-job-4515730&sectionRank=908&token=0~0e9d65d8-9a7f-44cf-9d81-0faeef19653c&fr=SRP%20Job%20Listing
Nanyang Food Management,STORE CREW/BARISTA,Jakarta Raya,"IDR 3,000,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/store-crew-barista-4518109?jobId=jobstreet-id-job-4518109&sectionRank=305&token=0~216fad1f-2284-41a8-b169-81337b034e9c&fr=SRP%20Job%20Listing
PT Surya Ekspress Mulia,Help Desk Specialist,Batam,"IDR 4,000,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/help-desk-specialist-4516993?jobId=jobstreet-id-job-4516993&sectionRank=1325&token=0~dbc4da5f-01bc-4e1e-81b3-7f096b018cb5&fr=SRP%20Job%20Listing
Hasta Buana Raya,Finance Staff,Jakarta Timur,"IDR 4,000,000 - IDR 5,600,000",https://www.jobstreet.co.id/id/job/finance-staff-4515669?jobId=jobstreet-id-job-4515669&sectionRank=1056&token=0~b12aad0d-ce7f-4b2e-925a-fc38787a2ad5&fr=SRP%20Job%20Listing
"PT Mark Dynamics Indonesia, Tbk",Management Trainee (MT),Sumatera Utara,"IDR 8,000,000 - IDR 11,200,000",https://www.jobstreet.co.id/id/job/management-trainee-mt-4518567?jobId=jobstreet-id-job-4518567&sectionRank=401&token=0~e7a7d03f-ca41-48a0-8ecc-c39f99367986&fr=SRP%20Job%20Listing
PT ACCENTUATES,HR Officer,Jakarta Raya,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/hr-officer-4513822?jobId=jobstreet-id-job-4513822&sectionRank=1569&token=0~00b4b701-5616-4a55-99bb-fcbaf55b100e&fr=SRP%20Job%20Listing
PT Karya Bintang Mandiri,Operator & Op. Control Room Furnace,Sidoarjo,"IDR 4,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/operator-op.-control-room-furnace-4518975?jobId=jobstreet-id-job-4518975&sectionRank=367&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
PT Mitracomm Ekasarana,ADMIN SALES,Jawa Timur,"IDR 4,500,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/admin-sales-4517915?jobId=jobstreet-id-job-4517915&sectionRank=278&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
CSTI,K3 EXPERT ( HEALTHY AND SAFETY ENVIRONMENT),Karawang,"IDR 6,500,000 - IDR 8,600,000",https://www.jobstreet.co.id/id/job/k3-expert-healthy-and-safety-environment-4518961?jobId=jobstreet-id-job-4518961&sectionRank=518&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
PT. Graha Perdana Indah,Sales Executive Property,Depok,"IDR 3,000,000 - IDR 3,500,000",https://www.jobstreet.co.id/id/job/sales-executive-property-4518623?jobId=jobstreet-id-job-4518623&sectionRank=728&token=0~f5325532-66cf-4ead-82a5-50cf12a31ba1&fr=SRP%20Job%20Listing
PT Cendana INDOPEARLS (Atlas South Sea Pearl),Site Bengkel Manager,Nusa Tenggara Timur,"IDR 8,000,000 - IDR 11,200,000",https://www.jobstreet.co.id/id/job/site-bengkel-manager-4516126?jobId=jobstreet-id-job-4516126&sectionRank=1326&token=0~dbc4da5f-01bc-4e1e-81b3-7f096b018cb5&fr=SRP%20Job%20Listing
PT Honda Prospect Motor,Organizational Development Staff,Karawang,"IDR 8,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/organizational-development-staff-4514981?jobId=jobstreet-id-job-4514981&sectionRank=96&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
PT Prospera,Sosial Media Digital Marketing Tangerang Citra Balaraja Cikupa Karawaci Bitung,Tangerang,"IDR 3,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sosial-media-digital-marketing-tangerang-citra-balaraja-cikupa-karawaci-bitung-4518989?jobId=jobstreet-id-job-4518989&sectionRank=402&token=0~e7a7d03f-ca41-48a0-8ecc-c39f99367986&fr=SRP%20Job%20Listing
PT. Majoo Teknologi Indonesia,Sales Associate (Padang),Padang,"IDR 5,000,000 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/sales-associate-padang-4517483?jobId=jobstreet-id-job-4517483&sectionRank=1388&token=0~969a56c5-bc12-41aa-822a-6203e6a5bc90&fr=SRP%20Job%20Listing
PT. Indo Inovasi Teknologi,Customer Relation Officer,Jakarta Raya,"IDR 6,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/customer-relation-officer-4517758?jobId=jobstreet-id-job-4517758&sectionRank=245&token=0~317ce3cb-4347-4dc6-bccc-156ac6fb4b5b&fr=SRP%20Job%20Listing
