Company,Job_title,Location,Salary,Work Type,Descriptions,Links
PT Lestari Jaya Raya,PROGRAMER STAFF,Jakarta Timur,,Penuh Waktu,"DESKRIPSI PEKERJAAN :, Mengembangkan dan mengimplementasikan User Interface (Front End) ke dalam platform web app, Mengembangkan dan mengimplementasikan User Interface (Front End) ke dalam platform web app, KUALIFIKASI YANG DIBUTUHKAN :, Pendidikan : Diploma, Gelar Sarjana di Teknik (Komputer/Telekomunikasi), Ilmu Komputer/Teknologi Informasi, atau setara.Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Kemampuan yang harus dimiliki: menguasai HTML, JavaScript, Vuejs, PHP.Bersedia mempelajari teknologi baru.Mampu bekerja di bawah tekanan, memiliki logika yang cukup baikMampu mengenali bisnis proses untuk aplikasikan ke softwareCepat mengadopsi teknologi baru untuk mengimplementasikan ke dalam softwareBersedia join SEGERA, Pendidikan : Diploma, Gelar Sarjana di Teknik (Komputer/Telekomunikasi), Ilmu Komputer/Teknologi Informasi, atau setara., Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini., Kemampuan yang harus dimiliki: menguasai HTML, JavaScript, Vuejs, PHP., Bersedia mempelajari teknologi baru., Mampu bekerja di bawah tekanan, memiliki logika yang cukup baik, Mampu mengenali bisnis proses untuk aplikasikan ke software, Cepat mengadopsi teknologi baru untuk mengimplementasikan ke dalam software, Bersedia join SEGERA, ",https://www.jobstreet.co.id/id/job/programer-staff-4519071?jobId=jobstreet-id-job-4519071&sectionRank=11&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT. Samudra Sakti Utama (Sunset Eyewear),HR Staff,Denpasar,"IDR 4,500,000 - IDR 4,700,000",Penuh Waktu,"Job Descriptions:, Job Descriptions:, Perform recruitment cycle activities including, but not limited to: advertising, shortlisting and screening, and setting up interviewsPrepare new employment contract, resignation, warning letter, and other HR related documentsTo assist in performance management process; preparing performance appraisal formPrepare and distributing company policies, guidelines and SOP documentsMaintaining HR an up-to-date record in systemPrepare the distribute document for the payment process related to payrollPerform any other operational and HR administrative duties, Perform recruitment cycle activities including, but not limited to: advertising, shortlisting and screening, and setting up interviews, Prepare new employment contract, resignation, warning letter, and other HR related documents, To assist in performance management process; preparing performance appraisal form, Prepare and distributing company policies, guidelines and SOP documents, Maintaining HR an up-to-date record in system, Prepare the distribute document for the payment process related to payroll, Perform any other operational and HR administrative duties, Job Requirements:, Job Requirements:, Candidates must possess at least Bachelor's Degree in Psychology, Human Resources Management, or equivalentPreferably 1 year of experience in related fields is required for this position. Fresh graduates are welcome to applyExcellent communication (English & Bahasa) and interpersonal skillsProficient in using Microsoft OfficeAble to maintain confidentiality and handle sensitive HR mattersGood in teamwork and enjoy dealing with peopleWilling to be placed in Renon, Denpasar, Candidates must possess at least Bachelor's Degree in Psychology, Human Resources Management, or equivalent, Preferably 1 year of experience in related fields is required for this position. Fresh graduates are welcome to apply, Excellent communication (English & Bahasa) and interpersonal skills, Proficient in using Microsoft Office, Able to maintain confidentiality and handle sensitive HR matters, Good in teamwork and enjoy dealing with people, Willing to be placed in Renon, Denpasar, ",https://www.jobstreet.co.id/id/job/hr-staff-4519012?jobId=jobstreet-id-job-4519012&sectionRank=12&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
"PT. Zyrexindo Mandiri Buana, Tbk",Teknisi Customer Service,Manado,,Penuh Waktu,"Kualifikasi :, Kualifikasi :, Usia maksimum 30 tahunPendidikan minimal D3 dengan jurusan Sistem Informasi, Teknik Komputer atau sejenisnyaMemiliki pengalaman kerja sebagai Teknisi produk IT minimal 1 tahunMengerti instalasi software dan hardware produk-produk IT (terutama laptop, komputer, dan server)Mampu menangani troubleshoot software dan hardwareMenguasai software seperti Microsoft Windows Server, Linux, Microsoft WindowsMemiliki kemampuan berkomunikasi yang baikMemiliki kendaraan pribadi dan SIMBersedia bekerja secepatnya, Usia maksimum 30 tahun, Pendidikan minimal D3 dengan jurusan Sistem Informasi, Teknik Komputer atau sejenisnya, Memiliki pengalaman kerja sebagai Teknisi produk IT minimal 1 tahun, Mengerti instalasi software dan hardware produk-produk IT (terutama laptop, komputer, dan server), Mampu menangani troubleshoot software dan hardware, Menguasai software seperti Microsoft Windows Server, Linux, Microsoft Windows, Memiliki kemampuan berkomunikasi yang baik, Memiliki kendaraan pribadi dan SIM, Bersedia bekerja secepatnya, Deskripsi pekerjaan:, Deskripsi pekerjaan:, Merupakan bagian dari divisi Customer ServiceMenangani semua permasalahan software dan hardware pada device milik customerMenangani pertanyaan pelanggan melalui telepon, email, atau media sosial dengan sopan dan profesional.Memberikan informasi produk, layanan, dan kebijakan perusahaan kepada pelanggan, Merupakan bagian dari divisi Customer Service, Menangani semua permasalahan software dan hardware pada device milik customer, Menangani pertanyaan pelanggan melalui telepon, email, atau media sosial dengan sopan dan profesional., Memberikan informasi produk, layanan, dan kebijakan perusahaan kepada pelanggan, ",https://www.jobstreet.co.id/id/job/teknisi-customer-service-4518805?jobId=jobstreet-id-job-4518805&sectionRank=13&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Astra Otoparts Tbk,Finance & Accounting Trainee,Jakarta Raya,,Penuh Waktu,"Identify and analyze finance and accounting operational issues.Collaborate with cross-functional teams to develop and implement effective solutionsCreate operational reports, financial statements, and dashboards.Provide in-depth analysis of financial performance, trends, and key metrics.Ensure that financial operations comply with relevant regulations, accounting standards, and internal policies.Continuously explore opportunities to enhance financial processes through data-driven insights and technology solutions., Identify and analyze finance and accounting operational issues., Collaborate with cross-functional teams to develop and implement effective solutions, Create operational reports, financial statements, and dashboards., Provide in-depth analysis of financial performance, trends, and key metrics., Ensure that financial operations comply with relevant regulations, accounting standards, and internal policies., Continuously explore opportunities to enhance financial processes through data-driven insights and technology solutions., ",https://www.jobstreet.co.id/id/job/finance-accounting-trainee-4518195?jobId=jobstreet-id-job-4518195&sectionRank=14&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Inti Lancar Guna,Executive Assistant,Jawa Timur,"IDR 4,000,000 - IDR 6,000,000",Penuh Waktu,"Job Description:, Job Description:, Bridging between BoDs and managers on day to day basis, Preparing, analyzing, and compiling accounting reports, presentations, and/ or research data as requested by BoD, Organizing, taking minute meetings in meetings that involved BoD, Arranging BoD's travel, including flights or ground transportation, and accommodation, Qualifications:, Qualifications:, Max. 35 years old, Bachelor's degree in Finance / Accounting / Management, Proficient with Microsoft Office software (Excel, Word, Power Point, etc.), Able to drive and travel if needed on any given days, Diligent, fast learner, good time management, & attention to detail, Able to speak fluently in English, Mandarin is a plus, ",https://www.jobstreet.co.id/id/job/executive-assistant-4519044?jobId=jobstreet-id-job-4519044&sectionRank=15&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Nojorono Tobacco International,Management Trainee,Kudus,,Penuh Waktu,"Management Trainee merupakan program pelatihan management yang dirancang untuk mengembangkan kandidat dari sisi keterampilan, pengetahuan serta karakter sebagai Pemimpin Masa Depan Nojorono., Kualifikasi :, Kualifikasi :, Pendidikan minimal S1 dengan minum IPK 3,00 dari semua jurusanMaksimal usia 27 tahunMemiliki jiwa kepemimpinanMampu berbahasa inggris akan menjadi nilai tambahProaktif, inovatif, bertanggung jawab, dan mampu bekerja dibawah tekananBersedia bekerja dalam tim dan mandiriBersedia ditempatkan di seluruh Indonesia, Pendidikan minimal S1 dengan minum IPK 3,00 dari semua jurusan, Maksimal usia 27 tahun, Memiliki jiwa kepemimpinan, Mampu berbahasa inggris akan menjadi nilai tambah, Proaktif, inovatif, bertanggung jawab, dan mampu bekerja dibawah tekanan, Bersedia bekerja dalam tim dan mandiri, Bersedia ditempatkan di seluruh Indonesia, ",https://www.jobstreet.co.id/id/job/management-trainee-4518467?jobId=jobstreet-id-job-4518467&sectionRank=16&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Sistem Manajemen Dewarangga,Admin Finance,Jakarta Selatan,"IDR 4,900,000 - IDR 6,000,000",Penuh Waktu,"Kualifikasi, Kualifikasi, Pendidikan minimal S1 Akuntansi dan sejenisnyaPengalaman minimal 1 tahun dibidang yang samaMemahami prinsip akuntansi, keuangan dan perbankanMemiliki pengetahuan dasar terkait perpajakanMemiliki kemampuan dalam membuat laporan administrasi keuanganMemiliki kemampuan dalam pengelolaan dan pengalokasian danaMemiliki kemampuan dalam membuat forecast keuanganMemiliki kemampuan dalam mengoperasikan aplikasi keuangan, Pendidikan minimal S1 Akuntansi dan sejenisnya, Pengalaman minimal 1 tahun dibidang yang sama, Memahami prinsip akuntansi, keuangan dan perbankan, Memiliki pengetahuan dasar terkait perpajakan, Memiliki kemampuan dalam membuat laporan administrasi keuangan, Memiliki kemampuan dalam pengelolaan dan pengalokasian dana, Memiliki kemampuan dalam membuat forecast keuangan, Memiliki kemampuan dalam mengoperasikan aplikasi keuangan, ",https://www.jobstreet.co.id/id/job/admin-finance-4516909?jobId=jobstreet-id-job-4516909&sectionRank=17&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Neuroteknologi Edukasi Indonesia,Admin Customer Support,Jakarta Raya,"IDR 5,000,000 - IDR 5,500,000",Penuh Waktu,"Support and reporting to Center Manager, the successful candidate will be responsible for all operations of the BrainFit center., In Particular:, In Particular:, Responsible for all center operations including instructors, students, parents management and administrativeResponsible to lead at the front line.Ensure excellent standard of customer service and high customer satisfaction.Responsible for scheduling to ensure adequate and efficient staffing at all timesEnsure the center operations goes wellSubmit regular reports to Center ManagerSupport center activities (e.g. : marketing activities, holiday program, etc.), Responsible for all center operations including instructors, students, parents management and administrative, Responsible to lead at the front line., Ensure excellent standard of customer service and high customer satisfaction., Responsible for scheduling to ensure adequate and efficient staffing at all times, Ensure the center operations goes well, Submit regular reports to Center Manager, Support center activities (e.g. : marketing activities, holiday program, etc.), Requirements:, Requirements:, Diploma / Degree and above, from any majorHave at least 2 years working experience in service related industry / as a secretaryAble to speak EnglishExperience in the education industry, or after school business is a plusExcellent communication and administrative skillsAble to multi-taskResults-oriented, self-motivated and able to work independently as well as a teamOpen to outside coaching and mentoringTechnology savvy as a user5-day work-weekincluding Saturday., Diploma / Degree and above, from any major, Diploma / Degree and above, from any major, Have at least 2 years working experience in service related industry / as a secretary, Able to speak English, Experience in the education industry, or after school business is a plus, Excellent communication and administrative skills, Able to multi-task, Results-oriented, self-motivated and able to work independently as well as a team, Open to outside coaching and mentoring, Technology savvy as a user, 5-day work-weekincluding Saturday., To be positioned:, To be positioned:, Kelapa Gading - Jakarta UtaraPantai Indah Kapuk - Jakarta UtaraBSD - Tangerang, Kelapa Gading - Jakarta Utara, Pantai Indah Kapuk - Jakarta Utara, BSD - Tangerang, ",https://www.jobstreet.co.id/id/job/admin-customer-support-4517560?jobId=jobstreet-id-job-4517560&sectionRank=18&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Hon Chuan Indonesia,Sales Assistant,Bekasi,,Penuh Waktu,"Requirements:, Candidate must possess at least Bachelor's Degree in any field.Minimum 2 years experience in a related field.Able to communicate in English is MUST.Having experience in handling administration and sales admin.Familiar with ERP system is mandatory.Having advanced skills in Ms. Excel is mandatory (vlookup, hlookup, pivot table).Hard worker, honest, and able to work independently as well as in a team., Candidate must possess at least Bachelor's Degree in any field., Minimum 2 years experience in a related field., Able to communicate in English is MUST., Having experience in handling administration and sales admin., Familiar with ERP system is mandatory., Having advanced skills in Ms. Excel is mandatory (vlookup, hlookup, pivot table)., Hard worker, honest, and able to work independently as well as in a team., Job descriptions:, Collecting, controlling, and managing all data sales.Monitoring stock.Supporting sales team.Make sales report activity (daily, weekly, monthly).Cooperating with the production department regarding the delivery of goods.Communicate with warehouse team., Collecting, controlling, and managing all data sales., Monitoring stock., Supporting sales team., Make sales report activity (daily, weekly, monthly)., Cooperating with the production department regarding the delivery of goods., Communicate with warehouse team., ",https://www.jobstreet.co.id/id/job/sales-assistant-4518248?jobId=jobstreet-id-job-4518248&sectionRank=19&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Friendship Logistics Line,Staff Lapangan Trucking,Jakarta Utara,,Kontrak,"Mengatur Jadwal Pengiriman Serta Mengatur Unit ArmadanyaMonitoring dan Melaporkan Ketersediaan Unit Armada dan Update Posisi ArmadaMemastikan Operasional Pengiriman Berjalan Lancar Sesuai Prosedur PerusahaanMonitoring Perawatan Service KendaraanMengatur Jadwal Kerja Pengemudi / DriverMembuat Rincian Uang Jalan, Ritase Driver dan StandbyMengontrol Kegiatan Logistik di Lapangan.Mengontrol Dokumen Surat Jalan.Mengontrol Packing List Pengiriman .Mencatat Semua Cargo Sesuai Dengan Tujuannya., Mengatur Jadwal Pengiriman Serta Mengatur Unit Armadanya, Monitoring dan Melaporkan Ketersediaan Unit Armada dan Update Posisi Armada, Memastikan Operasional Pengiriman Berjalan Lancar Sesuai Prosedur Perusahaan, Monitoring Perawatan Service Kendaraan, Mengatur Jadwal Kerja Pengemudi / Driver, Membuat Rincian Uang Jalan, Ritase Driver dan Standby, Mengontrol Kegiatan Logistik di Lapangan., Mengontrol Dokumen Surat Jalan., Mengontrol Packing List Pengiriman ., Mencatat Semua Cargo Sesuai Dengan Tujuannya., Persyaratan, Persyaratan, Usia Maksimal 35 Tahun.Pendidikan Minimal SMA/SMK.Memiliki Pengalaman Dalam Bidang Logistik Alat Berat Khususnya Trucking (Minimal 1 Tahun)Memiliki Kendaraan Motor & Memiliki Sim C (Minimal)Memiliki HP Android Untuk KomunikasiMampu Bekerja Dalam Tekanan, Usia Maksimal 35 Tahun., Pendidikan Minimal SMA/SMK., Memiliki Pengalaman Dalam Bidang Logistik Alat Berat Khususnya Trucking (Minimal 1 Tahun), Memiliki Kendaraan Motor & Memiliki Sim C (Minimal), Memiliki HP Android Untuk Komunikasi, Mampu Bekerja Dalam Tekanan, ",https://www.jobstreet.co.id/id/job/staff-lapangan-trucking-4518682?jobId=jobstreet-id-job-4518682&sectionRank=20&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Prima Audio Indonesia,Staff Accounting,Jakarta Raya,,Penuh Waktu,"Kualifikasi:, Usia 23 - 30 tahunMinimal Bachelor Degree (S1) Accounting, IPK min 3.00Memiliki pengalaman minimal 1 tahunBersedia ditempatkan di PIK - Jakarta Utara, Usia 23 - 30 tahun, Minimal Bachelor Degree (S1) Accounting, IPK min 3.00, Memiliki pengalaman minimal 1 tahun, Bersedia ditempatkan di PIK - Jakarta Utara, Deskripsi Pekerjaan :, Merekonsiliasi bank harianMembuat dan memeriksa laporan keuangan setiap bulanMemahami Jurnal AccountingMengkontrol AR dan AP setiap bulanMenguasai atau pernah memakai aplikasi accounting di utamakan AccurateDapat bergabung SECEPATNYA, Merekonsiliasi bank harian, Membuat dan memeriksa laporan keuangan setiap bulan, Memahami Jurnal Accounting, Mengkontrol AR dan AP setiap bulan, Menguasai atau pernah memakai aplikasi accounting di utamakan Accurate, Dapat bergabung SECEPATNYA, ",https://www.jobstreet.co.id/id/job/staff-accounting-4518191?jobId=jobstreet-id-job-4518191&sectionRank=21&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
Pigcasso,Staff Finance Accounting,Jakarta Raya,"IDR 5,500,000 - IDR 6,000,000",Penuh Waktu,"Persyaratan:, Persyaratan:, Minimun D-3 AccountingPengalaman sebagai Staff Accounting di bidang restoran minimum 3 tahunMampu dalam mengoperasikan sistem keuangan terkait dengan manajemen operasional restoran, Minimun D-3 Accounting, Pengalaman sebagai Staff Accounting di bidang restoran minimum 3 tahun, Mampu dalam mengoperasikan sistem keuangan terkait dengan manajemen operasional restoran, Tanggung Jawab:, Tanggung Jawab:, Bertanggung jawab dalam membuat jurnal keuanganBertanggung jawab dalam melakukan verifikasi transaksi dan stockBertanggung jawab dalam melakukan evaluasi terkait dengan status atas pelaporan transaksi outlet, Bertanggung jawab dalam membuat jurnal keuangan, Bertanggung jawab dalam melakukan verifikasi transaksi dan stock, Bertanggung jawab dalam melakukan evaluasi terkait dengan status atas pelaporan transaksi outlet, Benefits:, Benefits:, Suasana bekerja yang bersahabat dan keakraban dalam teamMenjadi tempat belajar untuk mengembangkan diriTidak terdapat diskriminasi dalam bekerja, Suasana bekerja yang bersahabat dan keakraban dalam team, Menjadi tempat belajar untuk mengembangkan diri, Tidak terdapat diskriminasi dalam bekerja, ",https://www.jobstreet.co.id/id/job/staff-finance-accounting-4518585?jobId=jobstreet-id-job-4518585&sectionRank=22&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Duta Agro Makmur Indah,Staff HRGA,Jakarta Utara,,Penuh Waktu,"Jobdesk :, Jobdesk :, Memastikan ketersediaan alat kerja dan fasilitas kantor dengan baikBertanggung jawab atas pemeliharaan dan perbaikan aset perusahaanMonitoring & memastikan pekerjaan OB, Driver, pekerjaan kontraktor berjalan dengan baikMelakukan pemesanan tiket, hotel untuk keperluan dinas karyawan dan pihak eksternalBertanggung jawab dalam pengurusan ijin-ijin dan sertifikat Perusahaan dan karyawanMembina hubungan baik dengan pihak eksternal PerusahaanMelakukan tugas lainnya yang berhubungan dengan General Affair, Memastikan ketersediaan alat kerja dan fasilitas kantor dengan baik, Bertanggung jawab atas pemeliharaan dan perbaikan aset perusahaan, Monitoring & memastikan pekerjaan OB, Driver, pekerjaan kontraktor berjalan dengan baik, Melakukan pemesanan tiket, hotel untuk keperluan dinas karyawan dan pihak eksternal, Bertanggung jawab dalam pengurusan ijin-ijin dan sertifikat Perusahaan dan karyawan, Membina hubungan baik dengan pihak eksternal Perusahaan, Melakukan tugas lainnya yang berhubungan dengan General Affair, Kualifikasi :, Kualifikasi :, S1 SDM, Manajemen, Psikologi, HukumPengalaman minimal 1 tahun di bidang HRGAMenguasai MS Office (Word, Excel, PPT, Outlook)Komunikatif, aktif dan energikBersedia penempatan Jakarta Utara, S1 SDM, Manajemen, Psikologi, Hukum, Pengalaman minimal 1 tahun di bidang HRGA, Menguasai MS Office (Word, Excel, PPT, Outlook), Komunikatif, aktif dan energik, Bersedia penempatan Jakarta Utara, ",https://www.jobstreet.co.id/id/job/staff-hrga-4518555?jobId=jobstreet-id-job-4518555&sectionRank=23&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Vale Indonesia Tbk,Traffic Management Engineer,Sulawesi Tengah,,Penuh Waktu,"Job Purpose, Job Purpose, The purpose of a Traffic management engineer is to plan, design, and implement traffic systems and solutions to ensure the safe, efficient and sustainability of transportation system for movement of people, Heavy Equipment and goods. This includes the development of traffic management plans and the maintenance and construction of roads, Mine Haul Road, highways, bridges, tunnels, and other transportation infrastructure. Traffic management engineer must also analyze traffic patterns, evaluate the effectiveness of existing traffic systems, and create solutions to minimize congestion and maximize safety. They also may be involved in the installation and operation of traffic control systems, such as traffic signals and cameras., Accountabilities:, Accountabilities:, 1. Design, develop and implement traffic engineering solutions consist of traffic management plan, traffic capacity analisys, traffic calming measure, environmental consideration, 2. Analyse traffic data and develop traffic models consist of traffic signal timing, traffic flow analisys, traffic simulation modelling, 3. Prepare reports, plans and technical documents and ensuring that all traffic management plans and strategies comply with industrial and government regulations and safety standards, 4. Liaise with clients and relevant stakeholders regarding, engaging with the public and stakeholders to gather input, explain proposed changes, and address concerns related to traffic management projects, 5. Conduct site surveys and develop site designs, conduct collaborating with other depts and government agencies to ensure that traffic management efforts align with mining activities and urban planning goals, 6. Provide advice on traffic control measures, Monitor the effectiveness of traffic engineering solutions, Technical Specializations:, Technical Specializations:, 1. Technical skills and knowledge of traffic management operations including surveys, mapping, risk identification and operations support., 2. Extensive experience for cooperation with various relevant departments and government related to traffic management in the contract of work area., 3. Knowledge to identify and assess traffic management system within the contract of work area. And provide recommendations or mitigation plans., Requirements:, Requirements:, 1. Bachelor Degree (S1) in Civil Engineering, Mining Engineering., 2. Minimum 3 years related experience., 3. Good Communication, presentation and fluent in English both written and verbal., 3. Willing to be placed in all sites PT Vale Indonesia, Tbk.., ",https://www.jobstreet.co.id/id/job/traffic-management-engineer-4519128?jobId=jobstreet-id-job-4519128&sectionRank=24&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
,,,, ,,https://www.jobstreet.co.id/id/job/supervisor-sales-customer-service-4518495?jobId=jobstreet-id-job-4518495&sectionRank=25&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
,,,, ,,https://www.jobstreet.co.id/id/job/legal-staff-4518569?jobId=jobstreet-id-job-4518569&sectionRank=26&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
CV Buana Sinar Abadi,STAFF FINANCE OSRAM AUTOMOTIVE,Tangerang,,Penuh Waktu,"Jadilah Finance Staff di CV. Buana Sinar Abadi hanya jika Anda :, Jujur, bertanggung jawab, loyal dan disiplinBaik dalam pekerjaan administrasi dan detailAnalitis, independent dan memiliki inisiatif dan pengetahuan proses perpajakan dan administrasi keuanganMemiliki penampilan menarik dan percaya diri yang tinggi, Jujur, bertanggung jawab, loyal dan disiplin, Baik dalam pekerjaan administrasi dan detail, Analitis, independent dan memiliki inisiatif dan pengetahuan proses perpajakan dan administrasi keuangan, Memiliki penampilan menarik dan percaya diri yang tinggi, CV. Buana Sinar Abadi adalah Distributor Resmi bohlam Osram Automotive :, OSRAM adalah international brand for automotive lighting, dan sekarang merupakan Global No.1 in Automotive Lighting.Merupakan pioneer dan berpengalaman lebih dari 10 tahun dalam mendistribusikan lampu Osram Automotive di Indonesia.Di CV. Buana Sinar Abadi, kami percaya suasana “KEKELUARGAAN” akan membuat kami bekerja lebih optimal., OSRAM adalah international brand for automotive lighting, dan sekarang merupakan Global No.1 in Automotive Lighting., Merupakan pioneer dan berpengalaman lebih dari 10 tahun dalam mendistribusikan lampu Osram Automotive di Indonesia., Di CV. Buana Sinar Abadi, kami percaya suasana “KEKELUARGAAN” akan membuat kami bekerja lebih optimal., Deskripsi pekerjaan:, Deskripsi pekerjaan:, Melakukan penghitungan pembayaran dari toko melalui kurirMelakukan filling dokumen ke dalam sistem perusahaanMembuat list tagihan yang akan dibawa oleh kurirMelakukan filling pelunasan pembayaran dari customer, Melakukan penghitungan pembayaran dari toko melalui kurir, Melakukan filling dokumen ke dalam sistem perusahaan, Membuat list tagihan yang akan dibawa oleh kurir, Melakukan filling pelunasan pembayaran dari customer, Persyaratan:, Persyaratan:, Minimal pendidikan SMA sederajatMemiliki pengalaman 1 tahun dalam bidang yang samaPandai berpikir kritis, percaya diri, dewasa dan memiliki kepribadian menyenangkan dan service mindsetMahir dalam menggunakan komputer, lancar ketik dan menguasai MS Office (Excel dan Word) dengan baikMahir software Akuntansi (khususnya Accurate)Diutamakan berdomisili di Tangerang dan sekitarnya, Minimal pendidikan SMA sederajat, Memiliki pengalaman 1 tahun dalam bidang yang sama, Pandai berpikir kritis, percaya diri, dewasa dan memiliki kepribadian menyenangkan dan service mindset, Mahir dalam menggunakan komputer, lancar ketik dan menguasai MS Office (Excel dan Word) dengan baik, Mahir software Akuntansi (khususnya Accurate), Diutamakan berdomisili di Tangerang dan sekitarnya, Benefits :, Benefits :, Allowances : Termasuk tunjangan kesehatan dan tunjangan ketenagakerjaan, tunjangan tepat waktuAnnual bonus : berdasarkan kinerja perusahaanFull Employment : status kepegawaian tetap dan full time setelah lewat masa percobaan, Allowances : Termasuk tunjangan kesehatan dan tunjangan ketenagakerjaan, tunjangan tepat waktu, Annual bonus : berdasarkan kinerja perusahaan, Full Employment : status kepegawaian tetap dan full time setelah lewat masa percobaan, ",https://www.jobstreet.co.id/id/job/staff-finance-osram-automotive-4518386?jobId=jobstreet-id-job-4518386&sectionRank=27&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Pelayaran Nasional Tanjungriau Servis,Receptionist Administrative Staff,Jakarta Raya,,Penuh Waktu,"We are looking for an aReceptionist & Administrative Staffwith following requirements:, We are looking for an aReceptionist & Administrative Staffwith following requirements:, Age maximum 30 years oldFluent in English (written and spoken)Ability to work as a teamHaving at least 2 years experienceMinimum education D3, Age maximum 30 years old, Fluent in English (written and spoken), Ability to work as a team, Having at least 2 years experience, Minimum education D3, Job Summary:, Job Summary:, The Receptionist answers and accurately direct phone calls professionally, greets clients and visitors positively, maintains the programming and maintenance of telephone system and obtains professional assistance as needed. This person also responsible for all the office administrative (General Affairs) processes within the office, as well as providing general support to enable the smooth and effective running of the office., Reception Duties :, Reception Duties :, Answer the phone in a clear and helpful manner.Takes and delivers accurate phone messages, with call back numbers and names legibly written and promptly relays messages to the proper person.Meet and greet visitors in a friendly and positive way.Answer visitors inquiries, as needed, or directs the inquiry to the person best able to answer.Maintains a neat and tidy reception area, clearing up any clutter on an ongoing basis and maintains a professional, comfortable general office atmosphere.Offers coffee or other refreshments to visitors who are waiting to visit the company.Booking, preparing and maintaining the meeting rooms ensuring catering, equipment etc. are organized effectively.Responsible for any courier arrangement.To ensure that incoming and outgoing mails or packages are well organized/ delivered.Following standardized company procedures relating to all aspects of office performance.Maintains all office area to be neat and tidyMaintains all office properties and assets in good conditionLiaise with vendors related to services provided to general overhead of the companyArrange transportation requirement and the usage of internal driver and company vehicle including arrange vehicle services to third partyDocument Control Administration, Answer the phone in a clear and helpful manner., Takes and delivers accurate phone messages, with call back numbers and names legibly written and promptly relays messages to the proper person., Meet and greet visitors in a friendly and positive way., Answer visitors inquiries, as needed, or directs the inquiry to the person best able to answer., Maintains a neat and tidy reception area, clearing up any clutter on an ongoing basis and maintains a professional, comfortable general office atmosphere., Offers coffee or other refreshments to visitors who are waiting to visit the company., Booking, preparing and maintaining the meeting rooms ensuring catering, equipment etc. are organized effectively., Responsible for any courier arrangement., To ensure that incoming and outgoing mails or packages are well organized/ delivered., Following standardized company procedures relating to all aspects of office performance., Maintains all office area to be neat and tidy, Maintains all office properties and assets in good condition, Liaise with vendors related to services provided to general overhead of the company, Arrange transportation requirement and the usage of internal driver and company vehicle including arrange vehicle services to third party, Document Control Administration, ",https://www.jobstreet.co.id/id/job/receptionist-administrative-staff-4515169?jobId=jobstreet-id-job-4515169&sectionRank=28&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
