id,Job_title,Company,Category,Location,Work Type,Working_type,Salary,Experience,Skills,Study_requirement,Descriptions,Link,Link_img
jt26,Manager Partnership,PT Sarana Usaha Sejahtera InsanPalapa (TelkoMedika),Manajemen (Kesehatan & Medis),Jakarta Raya,Kontrak,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Job Specification Manager Partnership:, Job Specification Manager Partnership:, Pendidikan: S1 Bisnis/Pemasaran/ManajemenPengalaman Kerja: Minimal 5 tahun pengalaman dalam pengelolaan kemitraan terutama di industri layanan kesehatan.Kompetensi : Strong Leadership, Communication Skill, Analytical Thinking, Networking, Strategic Thinking, Innovative, Negotiation Skill, Strong Adaptability, Pendidikan: S1 Bisnis/Pemasaran/Manajemen, Pengalaman Kerja: Minimal 5 tahun pengalaman dalam pengelolaan kemitraan terutama di industri layanan kesehatan., Kompetensi : Strong Leadership, Communication Skill, Analytical Thinking, Networking, Strategic Thinking, Innovative, Negotiation Skill, Strong Adaptability, Jobdesc Manager Partnership:, Jobdesc Manager Partnership:, Merencanakan dan merumuskan strategi kemitraan jangka panjang sesuai dengan tujuan perusahaan.Menganalisis pasar dan industri untuk mengidentifikasi mitra potensial yang sesuai dengan strategi PerusahaanMengembangkan proposal kemitraan yang menarik dan menguntungkan bagi kedua belah pihak, termasuk rancangan kesepakatan dan manfaat yang bisa diperoleh dari kemitraan tersebutBertanggung jawab atas proses negosiasi kontrak kemitraan, menetapkan syarat-syarat kesepakatan, serta menjalankan penandatanganan kontrak yang menguntungkan kedua belah pihakMemelihara hubungan baik dengan mitra yang ada, dan mencari peluang untuk meningkatkan kerjasama.Mengukur kinerja kemitraan secara teratur, mengevaluasi pencapaian terhadap tujuan, dan membuat laporan analisis yang memberikan wawasan bagi manajemenBekerja sama dengan tim internal untuk memastikan kemitraan terintegrasi dengan baik dalam operasi perusahaan serta memberikan arahan jika diperlukanMembangun jaringan yang dapat mendukung pengembangan kemitraan baru.Memantau tren pasar, industri, dan perubahan lingkungan yang dapat memengaruhi kemitraan yang ada atau potensial.Mengelola proyek-proyek kemitraan dari perencanaan hingga pelaksanaan, memastikan semua pihak terlibat sesuai dengan rencana dan target., Merencanakan dan merumuskan strategi kemitraan jangka panjang sesuai dengan tujuan perusahaan., Menganalisis pasar dan industri untuk mengidentifikasi mitra potensial yang sesuai dengan strategi Perusahaan, Mengembangkan proposal kemitraan yang menarik dan menguntungkan bagi kedua belah pihak, termasuk rancangan kesepakatan dan manfaat yang bisa diperoleh dari kemitraan tersebut, Bertanggung jawab atas proses negosiasi kontrak kemitraan, menetapkan syarat-syarat kesepakatan, serta menjalankan penandatanganan kontrak yang menguntungkan kedua belah pihak, Memelihara hubungan baik dengan mitra yang ada, dan mencari peluang untuk meningkatkan kerjasama., Mengukur kinerja kemitraan secara teratur, mengevaluasi pencapaian terhadap tujuan, dan membuat laporan analisis yang memberikan wawasan bagi manajemen, Bekerja sama dengan tim internal untuk memastikan kemitraan terintegrasi dengan baik dalam operasi perusahaan serta memberikan arahan jika diperlukan, Membangun jaringan yang dapat mendukung pengembangan kemitraan baru., Memantau tren pasar, industri, dan perubahan lingkungan yang dapat memengaruhi kemitraan yang ada atau potensial., Mengelola proyek-proyek kemitraan dari perencanaan hingga pelaksanaan, memastikan semua pihak terlibat sesuai dengan rencana dan target., ",https://www.jobstreet.co.id/id/job/71863007?type=standout&ref=search-standalone,;
jt27,Quality and Food Safety (QFS) Manager,PT Indolakto - Indofood CBP (INDOMILK),"Penjaminan & Kontrol Mutu (Manufaktur, Transportasi & Logistik)","Jakarta Timur, Jakarta Raya",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"PT Indolakto is a subsidiary of Indofood. With the wide range product make PT Indolakto to be Top 3 Dairy Industry in Indonesia. Our Head Office is located at Jalan Raya Bogor KM 26.6, Ciracas, Jakarta Timur. PT Indolakto has 1001-5000 employees., Our Vision:, Our Vision:, “To be the market leader of dairy product in Indonesia and to bring good corporate image anywhere in the world through high quality products.”, Our Mission:, Our Mission:, Creating added value for PT. INDOLAKTO by delivering high quality products throughout the world through good business management and utilization of opportunities of cooperation with foreign and domestic partner as well as possible., , Qualifications:, Qualifications:, Have a minimum of 5 years of experience in quality assurance, demonstrating the ability to develop and implement robust quality and food safety systems.Profound knowledge of quality and food safety systems such as ISO, FSSC, CPPOB, PMR, NKV, HACCP, and QMS, among others.Exceptional documentation skills to create comprehensive policies, guidelines, and procedures.Outstanding presentation skills to effectively train and instill quality standards across the organization.Proficiency in auditing processes to rigorously assess and ensure compliance.Additional expertise in microbiology, thermal processing, aseptic technology, and inline/online quality control instruments would be advantageous., Have a minimum of 5 years of experience in quality assurance, demonstrating the ability to develop and implement robust quality and food safety systems., Profound knowledge of quality and food safety systems such as ISO, FSSC, CPPOB, PMR, NKV, HACCP, and QMS, among others., Exceptional documentation skills to create comprehensive policies, guidelines, and procedures., Outstanding presentation skills to effectively train and instill quality standards across the organization., Proficiency in auditing processes to rigorously assess and ensure compliance., Additional expertise in microbiology, thermal processing, aseptic technology, and inline/online quality control instruments would be advantageous., , Job Description:, Job Description:, Developing, implementing, and reviewing comprehensive quality and food safety systems.Creating and refining policies, guidelines, procedures, and standards.Ensuring availability of facilities and fostering workforce awareness on QFS.Conducting audits, verifications, and compliance assessments.Continuously reviewing and enhancing the quality system to stay industry-leading., Developing, implementing, and reviewing comprehensive quality and food safety systems., Creating and refining policies, guidelines, procedures, and standards., Ensuring availability of facilities and fostering workforce awareness on QFS., Conducting audits, verifications, and compliance assessments., Continuously reviewing and enhancing the quality system to stay industry-leading., ",https://www.jobstreet.co.id/id/job/71922379?type=standout&ref=search-standalone,;
jt28,Brand Executive - Ice Cream,PT Indolakto - Indofood CBP (INDOMILK),Manajemen Brand (Pemasaran & Komunikasi),"Jakarta Timur, Jakarta Raya",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,", About us, About us, PT Indolakto is a subsidiary of Indofood. With the wide range product make PT Indolakto to be Top 3 Dairy Industry in Indonesia. Our Head Office is located at Jalan Raya Bogor KM 26.6, Ciracas, Jakarta Timur. PT Indolakto has 1001-5000 employees.


Our Vision:
“To be the market leader of dairy product in Indonesia and to bring good corporate image anywhere in the world through high quality products.”


Our Mission:
""Creating added value for PT. INDOLAKTO by delivering high quality products throughout the world through good business management and utilization of opportunities of cooperation with foreign and domestic partner as well as possible."", , , Qualifications & experience, Qualifications & experience, , Preferably 1-2 years of experience in a similar role as a Brand Executive within a leading FMCG company.Strong skills in data tracking and analysis, with a proficiency in handling numerical data.Excellent command of spoken and written English and Bahasa.Detail-oriented with advanced Microsoft Office skills (Excel, PowerPoint, and Word).Active user of social media platforms with a solid understanding of their dynamics.A proactive and driven professional with a deep passion for our brand and a history of achieving results.Highly motivated and capable of thriving in a fast-paced and ever-evolving work environment., Preferably 1-2 years of experience in a similar role as a Brand Executive within a leading FMCG company., Strong skills in data tracking and analysis, with a proficiency in handling numerical data., Excellent command of spoken and written English and Bahasa., Detail-oriented with advanced Microsoft Office skills (Excel, PowerPoint, and Word)., Active user of social media platforms with a solid understanding of their dynamics., A proactive and driven professional with a deep passion for our brand and a history of achieving results., Highly motivated and capable of thriving in a fast-paced and ever-evolving work environment., , , , Tasks & responsibilities, Tasks & responsibilities, , Conducting routine business analysis and evaluations, utilizing tools such as Nielsen, P&L tracking, and A&P budget management.Monthly sales forecasting and meticulous tracking to ensure achievement of sales targets.Supervising the execution of packaging development initiatives.Overseeing the implementation of consumer promotions and trade materials.Collaborating closely with the Consumer Care-line team to enhance consumer experiences.Contributing to the day-to-day development and implementation of Brand and operating plans.Assisting the Senior Brand Manager/Brand Manager in market research, product development (including NPD and pricing strategies).Working together with Sales & Food Service teams to drive brand success and market penetration., Conducting routine business analysis and evaluations, utilizing tools such as Nielsen, P&L tracking, and A&P budget management., Monthly sales forecasting and meticulous tracking to ensure achievement of sales targets., Supervising the execution of packaging development initiatives., Overseeing the implementation of consumer promotions and trade materials., Collaborating closely with the Consumer Care-line team to enhance consumer experiences., Contributing to the day-to-day development and implementation of Brand and operating plans., Assisting the Senior Brand Manager/Brand Manager in market research, product development (including NPD and pricing strategies)., Working together with Sales & Food Service teams to drive brand success and market penetration., , , ",https://www.jobstreet.co.id/id/job/71861137?type=standout&ref=search-standalone,;
jt29,Finance,PT CIPTAPRIMA MAHAKARYA GADING,Akuntansi & Pelaporan Finansial (Akuntansi),Jakarta Raya,Penuh waktu,Tidak ditampilkan,Rp 4.000.000 – Rp 6.000.000 per month,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Tugas dan tanggung jawab :, Rekap laporan omset setiap hariSetor ke bank omset setiap hariMengatur keuangan perusahaanMembuat laporan kas besar dan kas kecilMelakukan pembayaran ke supplierMelakukan penginputan seluruh transaksi keuangan ke dalam programMelakukan transaksi keuangan melalui Internet BankingMenyimpan seluruh nota dan bukti bayarMenghitung gaji karyawan setiap bulanBerhubungan dengan pihak internal dan eksternal terkait dengan aktivitas keuangan, Rekap laporan omset setiap hari, Setor ke bank omset setiap hari, Mengatur keuangan perusahaan, Membuat laporan kas besar dan kas kecil, Melakukan pembayaran ke supplier, Melakukan penginputan seluruh transaksi keuangan ke dalam program, Melakukan transaksi keuangan melalui Internet Banking, Menyimpan seluruh nota dan bukti bayar, Menghitung gaji karyawan setiap bulan, Berhubungan dengan pihak internal dan eksternal terkait dengan aktivitas keuangan, Kualifikasi :, Pendidikan Minimal S1Memiliki pengalaman minimal 2 tahun di bidang FinanceMampu mengoperasikan Ms Office terkait tools financeTeliti dalam perhitungan dan pendataan, Pendidikan Minimal S1, Memiliki pengalaman minimal 2 tahun di bidang Finance, Mampu mengoperasikan Ms Office terkait tools finance, Teliti dalam perhitungan dan pendataan, , , ",https://www.jobstreet.co.id/id/job/71836345?type=standout&ref=search-standalone,;
jt30,Sales Supervisor,Honda Kencana Kranji (PT Kencana Dharma Abadi),Manajemen (Penjualan),"Bekasi, Jawa Barat",Penuh waktu,Tidak ditampilkan,"Rp 6,000,000 – Rp 8,400,000 per month",Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Kualifikasi :, Kualifikasi :, , Usia 28-35 tahunPendidikan Min.S1 All MajorDiutamakan memiliki pengalaman 5 tahun dibagian Sales / Marketing dibidang otomotifMenguasai komputer Ms.Office (Ms.Word, Excel, Powerpoint) dan InternetMemiliki kemampuan Leadership, Couching, Counseling dan PresentasiJujur, Disiplin, pekerja keras, mudah bergaul dan beradaptasi dengan lingkungan baru, Usia 28-35 tahun, Pendidikan Min.S1 All Major, Diutamakan memiliki pengalaman 5 tahun dibagian Sales / Marketing dibidang otomotif, Menguasai komputer Ms.Office (Ms.Word, Excel, Powerpoint) dan Internet, Memiliki kemampuan Leadership, Couching, Counseling dan Presentasi, Jujur, Disiplin, pekerja keras, mudah bergaul dan beradaptasi dengan lingkungan baru, , , Tanggung Jawab :, Tanggung Jawab :, , Meningkatkan Sales Team PerformanceMengkoodinasikan dan mengendalikan kegiatan exibition atau moving productivityMeningkatkan Customer Satisfaction yang dapat memberikan dampak positif kepada penjualan.Memberikan product knowledge & salespersonship training ke sales personMembuat report penjualan team, Meningkatkan Sales Team Performance, Mengkoodinasikan dan mengendalikan kegiatan exibition atau moving productivity, Meningkatkan Customer Satisfaction yang dapat memberikan dampak positif kepada penjualan., Memberikan product knowledge & salespersonship training ke sales person, Membuat report penjualan team, , Benefit :, Benefit :, , Gaji PokokPenghasilan yang tak terhinggaTraining & EdukasiKesempatan KarirKesempatan ke luar negeriIncentive / KomisiAsuransi kesehatan, Gaji Pokok, Penghasilan yang tak terhingga, Training & Edukasi, Kesempatan Karir, Kesempatan ke luar negeri, Incentive / Komisi, Asuransi kesehatan, , ",https://www.jobstreet.co.id/id/job/71908957?type=standout&ref=search-standalone,;
jt31,Finance & Administration Development Program,PT Serasi Autoraya (Member of Astra),Akuntansi & Pelaporan Finansial (Akuntansi),"Jakarta Utara, Jakarta Raya",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"This is a 6-month development program that prepares fresh graduates from accounting majors for challenging real time projects. You will be given opportunity to improve your skills and develop your insights on our core business, especially in Finance & Administration at SERA Group, This is a 6-month development program that prepares fresh graduates from accounting majors for challenging real time projects. You will be given opportunity to improve your skills and develop your insights on our core business, especially in Finance & Administration at SERA Group, , Job Description when you will take on the role of Finance & Administration:, Job Description when you will take on the role of Finance & Administration:, Control branch cash flow, billing progress and A / R, and verify payment request and proof of debt recognitionConduct bank checks on payments to vendors and customers.Check the cash condition of branch.Create regular reports on branch performance and branch annual budget.Monitor condition and cost of public facilities and branch assets.Control branch administrative personnel.Implement CSR programs coordinated by Branch Manager.Develop work environment which prioritizes health (facilities and medical check up)., Control branch cash flow, billing progress and A / R, and verify payment request and proof of debt recognition, Conduct bank checks on payments to vendors and customers., Check the cash condition of branch., Create regular reports on branch performance and branch annual budget., Monitor condition and cost of public facilities and branch assets., Control branch administrative personnel., Implement CSR programs coordinated by Branch Manager., Develop work environment which prioritizes health (facilities and medical check up)., , Requirements:, Requirements:, Willing to be placed all around Indonesia.Candidate must possess at least bachelor degree majoringAccountingwith minimum GPA 3.00 of 4.00Fresh graduate are welcome to applyHaving maximum 2 year experience in Accounting, Finance and Tax Field, as Internal Audit, Accountant Public area will be advantage.Proven create and analyzing financial statement regularly.Strong attention to detail, good analytical thinking, initiavite and customer driven.Good communication skill both verbal or written in English., Willing to be placed all around Indonesia., Candidate must possess at least bachelor degree majoringAccountingwith minimum GPA 3.00 of 4.00, Accounting, Fresh graduate are welcome to apply, Having maximum 2 year experience in Accounting, Finance and Tax Field, as Internal Audit, Accountant Public area will be advantage., Proven create and analyzing financial statement regularly., Strong attention to detail, good analytical thinking, initiavite and customer driven., Good communication skill both verbal or written in English., , ",https://www.jobstreet.co.id/id/job/71862234?type=standout&ref=search-standalone,;
jt32,Content Creator,CV. Mandiri Perkasa Indogarment,Pemasaran Digital & Pencarian (Pemasaran & Komunikasi),"Yogyakarta, DI Yogyakarta",Penuh waktu,Tidak ditampilkan,Rp 3.000.000 – Rp 4.000.000 per month,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Kualifikasi :, 1. Usia maksimal 35 Tahun, 2. Biasa tampil di depan kamera, 3. Nyaman dan Percaya Diri berada di depan kamera, 4. Mahir dalam menggunakan beberapa software editing seperti (Canva, Illustrator, Premiere, After Efect, Cap Cut, dan lain-lain), 5. Memiliki pengalaman menjadi Content Creator minimal 1 tahun, 6. Memiliki ketertarikan pada dunia konveksi, 7. Aktif dan menguasai semua social media (YouTube, Instagram, Tiktok, Meta Business Suite), 8. Mahir membuat dan mengedit photo / video / voice over di social media, 9. Memiliki pengalaman dalam membuat konten dari fotografi hingga videografi, 10. Bersedia lembur dan terbiasa bekerja dengan deadline yang ketat, , Deskripsi Pekerjaan :, 1. Bertanggung jawab akan social media perusahaan, 2. Melakukan pembuatan content secara end to end (termasuk analisis, konsep, photo dan videoshoot, editing, eksekusi serta evaluasi) untuk semua social media perusahaan bersama Tim Marketing, 3. Mengikuti update perkembangan dari tren terbaru di social media saat ini, 4. Berkolaborasi dengan team untuk pembuatan dari konsep content marketing dengan ide yang kreatif, 5. Memantau aktivitas social media dan mengoptimalkan setiap content di social media, ",https://www.jobstreet.co.id/id/job/71922789?type=standout&ref=search-standalone,;
jt33,MARKETING COMMUNICATION (MARCOM) - PENEMPATAN : MANADO,PT. BUMI MAPAN ABADI,Komunikasi Pemasaran (Pemasaran & Komunikasi),Sulawesi Utara,Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Deskripsi Pekerjaan :, Deskripsi Pekerjaan :, Bertanggung jawab untuk menyusun proposal dan mendukung kelancaran operasional aktivitas penjualan;Bertanggung jawab untuk menyusun evaluasi dari aktivitas penjualan yang sudah berjalan;Berkoordinasi dengan vendor untuk social media content planning dan execution;Berkoordinasi dengan vendor untuk semua kebutuhan marketing tools;Berkoordinasi dengan semua vendor yang terkait dalam aktivitas penjualan, mulai dari quotation sampai dengan invoicing;Bekerjasama dengan tim sales, finance dan divisi lainnya untuk realisasi event sampai dengah pembayaran invoice;Mampu bekerja dibawah tekanan., Bertanggung jawab untuk menyusun proposal dan mendukung kelancaran operasional aktivitas penjualan;, Bertanggung jawab untuk menyusun evaluasi dari aktivitas penjualan yang sudah berjalan;, Berkoordinasi dengan vendor untuk social media content planning dan execution;, Berkoordinasi dengan vendor untuk semua kebutuhan marketing tools;, Berkoordinasi dengan semua vendor yang terkait dalam aktivitas penjualan, mulai dari quotation sampai dengan invoicing;, Bekerjasama dengan tim sales, finance dan divisi lainnya untuk realisasi event sampai dengah pembayaran invoice;, Mampu bekerja dibawah tekanan., , Kualifikasi :, Kualifikasi :, Pendidikan minimal DIII semua jurusan;Maximal umur 35 Tahun;Berpengalaman diposisi Marketing Communication minimal 2 tahun;Bersedia untuk bekerja overtime untuk realisasi event;Memiliki kemampuan analisa, komunikasi dan negosiasi yang baik;Memiliki SIM A dan SIM C;Lebih diutamakan mempunyai kendaraan motor pribadi;Memiliki pengetahuan dalam manajemen media sosial;Kreatif dan inovatif dalam ide pemasaran;Jujur disiplin, bertanggung jawab dan memiliki jiwa kepemimpinan yang baik., Pendidikan minimal DIII semua jurusan;, Maximal umur 35 Tahun;, Berpengalaman diposisi Marketing Communication minimal 2 tahun;, Bersedia untuk bekerja overtime untuk realisasi event;, Memiliki kemampuan analisa, komunikasi dan negosiasi yang baik;, Memiliki SIM A dan SIM C;, Lebih diutamakan mempunyai kendaraan motor pribadi;, Memiliki pengetahuan dalam manajemen media sosial;, Kreatif dan inovatif dalam ide pemasaran;, Jujur disiplin, bertanggung jawab dan memiliki jiwa kepemimpinan yang baik., ",https://www.jobstreet.co.id/id/job/71916109?type=standout&ref=search-standalone,;
jt34,Junior Accounting,PT Mitra Graha Andalan (Jakarta),Akuntansi & Pelaporan Finansial (Akuntansi),"Jakarta Pusat, Jakarta Raya",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Sarana Group (PT. Saranacentral Bajatama.Tbk, PT. Sarana Steel, PT. Buana Maju Selaras, PT. Mitra Graha Andalan, dsb.) adalah sebuah grup perusahaan yang bergerak di industri baja dan properti., Kantor Pusat kami berada di Gedung Baja, Jakarta Pusat dan kami memiliki beberapa pabrik di wilayah Karawang, Surabaya, dan Jakarta serta apartemen di daerah Bekasi., Saat ini grup kami membutuhkanJunior Accountingdengan kualifikasi:, Junior Accounting, - Pendidikan minimal D3 Akuntansi/Keuangan/Ekonomi- Memiliki pengalaman minimal 1 tahun bekerja pada posisi yang sama- Mahir dalam menggunakan Ms. Office terutama Ms. Excel- Memahami Perpajakan.- Pengalaman menggunakan software akuntansi terutama Accurate., , Noted : Mohon lampirkan CV yang memiliki foto profil dan usia, ",https://www.jobstreet.co.id/id/job/71863583?type=standout&ref=search-standalone,;
jt35,"Sales Admin (Jakarta, Bandung, Surabaya dan Semarang)",PT Citra Airindo Abadi,Asisten Administratif (Administrasi & Dukungan Perkantoran),Jakarta Raya,Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Apakah Anda seorang SALES ADMIN yang sudah berpengalaman dan ingin mengembangkan diri lebih lanjut dalam karir Anda?, Apakah Anda seorang SALES ADMIN yang sudah berpengalaman dan ingin mengembangkan diri lebih lanjut dalam karir Anda?, , Kualifikasi:, Kualifikasi:, Usia maksimal 35 tahunPendidikan minimal Diploma III segala jurusan, tidak sedang menjalani studi lanjutanPengalaman minimal 3 tahun aktif membantu Sales dalam melakukan follow-up terhadap permintaan dari dan penawaran ke pelanggan hingga closingTerbiasa bekerja dengan target waktu dan tidak segan bekerja ekstra waktu untuk mencapainyaBersedia ditugaskan keluar kota atau keluar pulau sesuai dengan kebutuhan proyekBisa berbahasa Inggris, minimal pasifBisa mengoperasikan komputer (Ms. Office, Email, dan Internet) & membuat laporanMemiliki SIM C dan Mahir mengendarai mobil dan memiliki SIM A akan mendapatkan nilai lebihEnergik, mau belajar cepat & memiliki inisiatif tinggiMemilki mental yang kuat dan percaya diri yang tinggiJujur, bertanggung jawab, disiplin, detail dan berkepribadian baikMampu bekerja dalam tekanan, baik personal maupun teamSiap bekerja dalam waktu dekatDiutamakan berdomisili di Jakarta Barat/Jakarta Pusat untuk yang di tempatkan di JakartaProsesrekrutmenakan diselenggarakan di masing – masing area (Jakarta, Bandung, Semarang, dan Surabaya), Usia maksimal 35 tahun, Pendidikan minimal Diploma III segala jurusan, tidak sedang menjalani studi lanjutan, Pengalaman minimal 3 tahun aktif membantu Sales dalam melakukan follow-up terhadap permintaan dari dan penawaran ke pelanggan hingga closing, Terbiasa bekerja dengan target waktu dan tidak segan bekerja ekstra waktu untuk mencapainya, Bersedia ditugaskan keluar kota atau keluar pulau sesuai dengan kebutuhan proyek, Bisa berbahasa Inggris, minimal pasif, Bisa mengoperasikan komputer (Ms. Office, Email, dan Internet) & membuat laporan, Memiliki SIM C dan Mahir mengendarai mobil dan memiliki SIM A akan mendapatkan nilai lebih, Energik, mau belajar cepat & memiliki inisiatif tinggi, Memilki mental yang kuat dan percaya diri yang tinggi, Jujur, bertanggung jawab, disiplin, detail dan berkepribadian baik, Mampu bekerja dalam tekanan, baik personal maupun team, Siap bekerja dalam waktu dekat, Diutamakan berdomisili di Jakarta Barat/Jakarta Pusat untuk yang di tempatkan di Jakarta, Prosesrekrutmenakan diselenggarakan di masing – masing area (Jakarta, Bandung, Semarang, dan Surabaya), rekrutmen, , Deskripsi Pekerjaan :, Deskripsi Pekerjaan :, Membantu sales berkomunikasi dengan pelanggan untuk koordinasi & menindak lanjuti berbagai halMembantu untuk pesiapan data maupun administrasi tim salesMenjalankan tugas dengan baik, Membantu sales berkomunikasi dengan pelanggan untuk koordinasi & menindak lanjuti berbagai hal, Membantu untuk pesiapan data maupun administrasi tim sales, Menjalankan tugas dengan baik, , ",https://www.jobstreet.co.id/id/job/71906808?type=standout&ref=search-standalone,;
jt36,PROJECT MANAGER (STORAGE TANK & REFINERY),PT Multikarya Sarana Perkasa,Manajemen Proyek (Konstruksi),"Dumai, Riau",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Persyaratan:, Pendidikan Minimal D3/S1 Teknik SipilPengalaman minimal 5 tahun sebagai Project Manager di Project Refinery dan Tangki (wajib)Memahami teknik manajemen proyek, risiko, dan perencanaan strategiMenguasai software manajemen proyekUsia Maksimal 45 Tahun, Pendidikan Minimal D3/S1 Teknik Sipil, Pengalaman minimal 5 tahun sebagai Project Manager di Project Refinery dan Tangki (wajib), Pengalaman minimal 5 tahun sebagai Project Manager di Project Refinery dan Tangki (wajib), Memahami teknik manajemen proyek, risiko, dan perencanaan strategi, Menguasai software manajemen proyek, Usia Maksimal 45 Tahun, , Tanggung Jawab :, Mengawasi seluruh proses, mulai dari perencanaan proyek hingga penyelesaianMendefinisikan ruang lingkup proyek, tujuan dan penyampaiannyaMengelola anggaran selama proyek berlangsungBertemu secara teratur dengan pemilik dan pemangku kepentingan untuk membahas status proyek dan menyelesaikan masalah dan konflikMenetapkan tugas kepada pekerja berdasarkan persyaratan dan kualifikasi pekerjaanMembangun dan memelihara hubungan dengan klien untuk memberi mereka informasi tentang kemajuan dan mengatasi masalah apa punMenyusun dan mengkoordinasikan tim proyekPerencanaan dan penjadwalan proyekMemberikan arahan dan dukungan untuk tim proyekTerus-menerus memantau dan melaporkan kemajuan proyek kepada seluruh stakeholdersMembuat laporan yang memuat kemajuan proyek, masalah dan solusiMelaksanakan dan mengelola perubahan proyek dan melakukan intervensi untuk mencapai hasil proyekMelakukan evaluasi dan penilaian hasil kerja, Mengawasi seluruh proses, mulai dari perencanaan proyek hingga penyelesaian, Mendefinisikan ruang lingkup proyek, tujuan dan penyampaiannya, Mengelola anggaran selama proyek berlangsung, Bertemu secara teratur dengan pemilik dan pemangku kepentingan untuk membahas status proyek dan menyelesaikan masalah dan konflik, Menetapkan tugas kepada pekerja berdasarkan persyaratan dan kualifikasi pekerjaan, Membangun dan memelihara hubungan dengan klien untuk memberi mereka informasi tentang kemajuan dan mengatasi masalah apa pun, Menyusun dan mengkoordinasikan tim proyek, Perencanaan dan penjadwalan proyek, Memberikan arahan dan dukungan untuk tim proyek, Terus-menerus memantau dan melaporkan kemajuan proyek kepada seluruh stakeholders, Membuat laporan yang memuat kemajuan proyek, masalah dan solusi, Melaksanakan dan mengelola perubahan proyek dan melakukan intervensi untuk mencapai hasil proyek, Melakukan evaluasi dan penilaian hasil kerja, ",https://www.jobstreet.co.id/id/job/71907625?type=standout&ref=search-standalone,;
jt37,Tax Staff,PT Bimasakti Mahawira,Perpajakan (Akuntansi),"Medan Helvetia, Sumatera Utara",Kontrak,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Job Description :, Job Description :, Melaksanakan pekerjaan yang berkaitan dengan perpajakan perusahaan., Melaksanakan pekerjaan yang berkaitan dengan perpajakan perusahaan., , Kualifikasi :, Kualifikasi :, Usia 22-30 tahun.Pendidikan minimal D3 Perpajakan / Administrasi Perpajakan / AkuntansiLebih diutamakan yang berpengalaman minimal 1 tahun di bidang perpajakan.Lebih diutamakan yang dapat menggunakan aplikasi perpajakan.Lebih diutamakan yang dapat melakukan tutup buku pajak.Lebih diutamakan yang memiliki Brevet A & B.Jujur, disiplin, mandiri, produktif, dan berdedikasi tinggi.Penempatan di Medan Helvetia., Usia 22-30 tahun., Pendidikan minimal D3 Perpajakan / Administrasi Perpajakan / Akuntansi, Lebih diutamakan yang berpengalaman minimal 1 tahun di bidang perpajakan., Lebih diutamakan yang dapat menggunakan aplikasi perpajakan., Lebih diutamakan yang dapat melakukan tutup buku pajak., Lebih diutamakan yang memiliki Brevet A & B., Jujur, disiplin, mandiri, produktif, dan berdedikasi tinggi., Penempatan di Medan Helvetia., ",https://www.jobstreet.co.id/id/job/71931289?type=standout&ref=search-standalone,;
jt38,Laboran QC,PT Vaksindo Satwa Nusantara,"Penjaminan & Kontrol Mutu (Manufaktur, Transportasi & Logistik)","Bogor, Jawa Barat",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Kualifikasi :, Pendidikan Min. D3 Analis Kimia/Paramedik VeterinerMemiliki pengetahuan mengenai SOP bekerja di LabMemiliki pengalaman Min. 1 Tahun/Fresh graduate dipersilahkan melamarSehat Jasmani & RohaniMengetahui tentang CPOHB dan GMP lebih diutamakanBersedia bekerja di wilayah Bogor, Jawa Barat, Pendidikan Min. D3 Analis Kimia/Paramedik Veteriner, Memiliki pengetahuan mengenai SOP bekerja di Lab, Memiliki pengalaman Min. 1 Tahun/Fresh graduate dipersilahkan melamar, Sehat Jasmani & Rohani, Mengetahui tentang CPOHB dan GMP lebih diutamakan, Bersedia bekerja di wilayah Bogor, Jawa Barat, , ",https://www.jobstreet.co.id/id/job/71906681?type=standout&ref=search-standalone,;
